ref=/home/agent/host/claude1/cpp/opencv/examples/ramp_256x256.png
dither=/home/agent/host/claude1/cpp/opencv/build/dither
colstats=/home/agent/host/claude1/cpp/opencv/colstats

test                                                worst |z|    avg |z|  fails  result
---------------------------------------------------------------------------------------
round frames=128 lvl=2 spatial=0 lin=True               1.004      0.095      0  PASS
round frames=128 lvl=2 spatial=0 lin=False              1.010      0.128      0  PASS
round frames=128 lvl=2 spatial=0.1 lin=True             0.126      0.036      0  PASS
round frames=128 lvl=2 spatial=0.1 lin=False            0.363      0.057      0  PASS
round frames=128 lvl=2 spatial=0.5 lin=True             0.126      0.036      0  PASS
round frames=128 lvl=2 spatial=0.5 lin=False            0.363      0.057      0  PASS
round frames=128 lvl=2 spatial=1 lin=True               0.126      0.036      0  PASS
round frames=128 lvl=2 spatial=1 lin=False              0.363      0.057      0  PASS
round frames=128 lvl=8 spatial=0 lin=True               0.000      0.000      0  PASS
round frames=128 lvl=8 spatial=0 lin=False              0.000      0.000      0  PASS
round frames=128 lvl=8 spatial=0.1 lin=True             0.000      0.000      0  PASS
round frames=128 lvl=8 spatial=0.1 lin=False            0.000      0.000      0  PASS
round frames=128 lvl=8 spatial=0.5 lin=True             0.000      0.000      0  PASS
round frames=128 lvl=8 spatial=0.5 lin=False            0.000      0.000      0  PASS
round frames=128 lvl=8 spatial=1 lin=True               0.000      0.000      0  PASS
round frames=128 lvl=8 spatial=1 lin=False              0.000      0.000      0  PASS
blue frames=1 lvl=2 spatial=0 lin=True                  2.196      0.637      0  PASS
blue frames=1 lvl=2 spatial=0 lin=False                 2.322      0.641      0  PASS
blue frames=1 lvl=2 spatial=0.1 lin=True                2.322      0.654      0  PASS
blue frames=1 lvl=2 spatial=0.1 lin=False               2.240      0.645      0  PASS
blue frames=1 lvl=2 spatial=0.5 lin=True                2.798      0.856      0  PASS
blue frames=1 lvl=2 spatial=0.5 lin=False               2.761      0.961      0  PASS
blue frames=1 lvl=2 spatial=1 lin=True                  2.322      0.641      0  PASS
blue frames=1 lvl=2 spatial=1 lin=False                 2.066      0.612      0  PASS
blue frames=1 lvl=8 spatial=0 lin=True                  0.532      0.112      0  PASS
blue frames=1 lvl=8 spatial=0 lin=False                 0.756      0.106      0  PASS
blue frames=1 lvl=8 spatial=0.1 lin=True                0.500      0.113      0  PASS
blue frames=1 lvl=8 spatial=0.1 lin=False               0.805      0.112      0  PASS
blue frames=1 lvl=8 spatial=0.5 lin=True                0.973      0.143      0  PASS
blue frames=1 lvl=8 spatial=0.5 lin=False               1.395      0.148      0  PASS
blue frames=1 lvl=8 spatial=1 lin=True                  1.687      0.120      0  PASS
blue frames=1 lvl=8 spatial=1 lin=False                 2.016      0.148      0  PASS
blue frames=16 lvl=2 spatial=0 lin=True                 0.356      0.060      0  PASS
blue frames=16 lvl=2 spatial=0 lin=False                0.425      0.083      0  PASS
blue frames=16 lvl=2 spatial=0.1 lin=True               1.375      0.110      0  PASS
blue frames=16 lvl=2 spatial=0.1 lin=False              1.381      0.153      0  PASS
blue frames=16 lvl=2 spatial=0.5 lin=True               1.375      0.287      0  PASS
blue frames=16 lvl=2 spatial=0.5 lin=False              1.710      0.389      0  PASS
blue frames=16 lvl=2 spatial=1 lin=True                 2.250      0.101      0  PASS
blue frames=16 lvl=2 spatial=1 lin=False                3.310      0.117      1  FAIL
blue frames=16 lvl=8 spatial=0 lin=True                 0.215      0.035      0  PASS
blue frames=16 lvl=8 spatial=0 lin=False                0.199      0.033      0  PASS
blue frames=16 lvl=8 spatial=0.1 lin=True               0.438      0.035      0  PASS
blue frames=16 lvl=8 spatial=0.1 lin=False              0.601      0.034      0  PASS
blue frames=16 lvl=8 spatial=0.5 lin=True               0.656      0.037      0  PASS
blue frames=16 lvl=8 spatial=0.5 lin=False              0.955      0.061      0  PASS
blue frames=16 lvl=8 spatial=1 lin=True                 0.609      0.032      0  PASS
blue frames=16 lvl=8 spatial=1 lin=False                1.520      0.123      0  PASS
blue frames=128 lvl=2 spatial=0 lin=True                0.069      0.036      0  PASS
blue frames=128 lvl=2 spatial=0 lin=False               0.344      0.043      0  PASS
blue frames=128 lvl=2 spatial=0.1 lin=True              0.984      0.052      0  PASS
blue frames=128 lvl=2 spatial=0.1 lin=False             0.608      0.073      0  PASS
blue frames=128 lvl=2 spatial=0.5 lin=True              0.953      0.096      0  PASS
blue frames=128 lvl=2 spatial=0.5 lin=False             0.608      0.128      0  PASS
blue frames=128 lvl=2 spatial=1 lin=True                0.969      0.046      0  PASS
blue frames=128 lvl=2 spatial=1 lin=False               1.417      0.047      0  PASS
blue frames=128 lvl=8 spatial=0 lin=True                0.000      0.000      0  PASS
blue frames=128 lvl=8 spatial=0 lin=False               0.000      0.000      0  PASS
blue frames=128 lvl=8 spatial=0.1 lin=True              0.023      0.000      0  PASS
blue frames=128 lvl=8 spatial=0.1 lin=False             0.012      0.000      0  PASS
blue frames=128 lvl=8 spatial=0.5 lin=True              0.086      0.001      0  PASS
blue frames=128 lvl=8 spatial=0.5 lin=False             0.131      0.013      0  PASS
blue frames=128 lvl=8 spatial=1 lin=True                0.305      0.005      0  PASS
blue frames=128 lvl=8 spatial=1 lin=False               0.656      0.075      0  PASS
---------------------------------------------------------------------------------------
OVERALL FAIL                                           290.07      78.48   1322   
